8376 entries
37 namespaces
6956 values

Namespace Global (7749 keys)
	B67D88D244614D1A10D3D1902E9A1278 = "
عادةً ما يكون سبب المشكلة هو:
- انقطاع الإنترنت
- حظر جدار الحماية الخاص بك للعبة"
	1FDA61D648F87E331CA7489375A84335 = "
تحذير: سيتم تعطيل تعديلاتك المعزولة."
	4A7E16E74D0CF1A7B3D01B8D80AFB480 = "
{modstatus}

هل تريد تطبيق هذه التغييرات وإعادة تحميل المحطة الفضائية الآن؟
"
	248F3D37491744967A44008576B16FA9 = " (ستييف)"
	46DC5C9345AAA322FC0237A09ECEADA7 = " غلاف أوموران"
	37E366904F23B0C40314F29B7BE3D8D3 = " نرجو منك الانتظار إلى أن يتم إضافة أشياءٍ جديدةٍ في المستقبل."
	31D60A1449082F9AB6DC15844F3810F6 = " مطلوب"
	75AD2FE3498BE6FDEBB6FEBE4B313DD6 = " مصمم الصوت / منتج الموسيقا"
	CC99101A43D27CD0B6D56484C12AC71D = " يمكن لرشاش الحماية إطلاق المزيد من الرصاص قبل أن تحتاج لإعادة تعبئته."
	9DE3AE324DB844BD8E835CB092A16D99 = "!لم تحقق متطلبات الواجب!"
	B804AFD2431E4660DCEA52A4A05F81DA = ""تقول الشائعات أن أصول عبارة "لا تترك أي قزمٍ خلفك" تعود إلى هذه المنطقة، ويمكن لأي شخصٍ رأى آثار التعرض الطويل للملح أن يفهم السبب.""
	2660CB0147BB176C7BED4CA8F8D87563 = ""سيرى القزم لمسافةٍ أبعد عندما يقف على أكتاف العمالقة!""
	7A08710B44444ECFC61B76B9C1569163 = ""سيرى القزم لمسافةٍ أبعد عندما يقف على أكتاف العمالقة!""
	F46EBF4248905C5C258AC5A84443527B = ""هذه هي عطلة الشاطئ الخاصّة بلأقزام الفقراء.""
	CFBD5A9446C706086671638BB02F2B9F = ""احرص دوماً على أن تفوق إنجازاتك التوقعات!""
	D6F2783E4EF9B33A3CEED6BD49DE379B = ""احرص دوماً على أن تفوق إنجازاتك التوقعات!""
	6AEFCD0941308D95C5CA318E0EC0E0C2 = ""وسمعت صوتاً قادماً من بين الوحوش الأربعة، فنظرت وإذ بفرسٍ شاحب البياض، واسمه الجالُس عليه هو الموت، والجحيم يتبعه.""
	8C87047441AC945EE4863CACDEBC3695 = "تعني "البيانات مجهولة الهوية" أننا سنجمع معلومات عنك في كل جلسة لعب، ولكن من دون أن نربط هذه الجلسات ببعضها بأي وسيلةٍ لتحديد الهوية.

إن هذه النوعية من البيانات تسمح لنا بأن نفهم أكثر كيف يستمتع اللاعبون بلعبتنا بشكلٍ عام، وتساعدنا على جعلها ممتعةً أكثر.

تتم إدارة كل البيانات المجموعة بهذا الشكل باستخدام StatHat وبطريقةٍ لا يمكن من خلالها تحديد هويتك أبداً. لن تتم مشاركة هذه البيانات مع أي طرفٍ خارجيٍ آخر."
	2E386E67451DDED41CDFFCBCBBD7C5E9 = ""هل لدى أحدكم بعضٌ من مزيل رائحة العرق؟ لا أسأل لنفسي، بل لواحدٍ من أصدقائي,""
	BDB3505E49E84657094C16853638E792 = ""على الأقل لن تحرق الشمس جلدك.""
	37C1CBDA40400EADD085728131C24FF1 = "درع "الباراكودا""
	18BBCB794432CDDBF4714B8D4CEC2CBA = ""لحية متجمدة""
	9954642F4001FB08142EDD98E2C9B6F4 = ""الخطر الكبير يعني الربح الكثير! إذا كنت تخاف المخاطر، فعليك بإيجاد وظيفةٍ أخرى!""
	D8746866498631341EEFFC99C83E2AB8 = ""الخطر الكبير يعني الربح الكثير! إذا كنت تخاف المخاطر، فعليك بإيجاد وظيفةٍ أخرى!""
	0DD0FC604EDC302D9E64548F1E9443F1 = ""بوسكو" - APD-B317 "
	C3CD0AE24CB9B3ED783E00967D20674C = ""بوسكو" - APD-B317 "
	5AD869E6463A8097D78B488A890ADDC8 = ""لقد بدت لي فكرة جلب المزيد من المتفجرّات إلى منطقة الحمم الباطنية فكرةً سديدةً آنذاك.""
	77187D6F417505F2992A93908FEF653F = "مسدس "بلدوغ" الدوّار"
	1B634B85412AB0E5A4E7F78207AE6A5B = ""اللعنة! لقد كان هذا بنطالي المفضّل!""
	87B52814441871EB7D6C4492F7651921 = ""هل تحرّكت هذه الدالية أم أنني أتوهم؟""
	4646B0FE4D768FA780476DB527338557 = ""احفروا مع بعضكم - أو احفر قبرك بنفسك!""
	E0E303954037D0A08BD52BA7C89BD427 = ""احفروا مع بعضكم - أو احفر قبرك بنفسك!""
	EB5F54C54E5042C0AC8E738F59E85182 = "لا تسمح لمظهرها الجميل بخداعك!""
	344608AF4AB651187F1233B6F8C1DC6F = ""حتى في أشد أعماق هوكسز الرابع برودةً هنالك حياة.""
	561CC2CB40CBAAAB675EF5891A28E17D = ""كل شيءٌ لا يقتله الإشعاع يجعلهُ أقوى.""
	EA27223B481A21DD5002CBB05ADA46E4 = ""العبارة الأخيرة التي ينطق بها الكثيرون: انظروا إليّ! أنا أطير!""
	28A37DBD4556CA6593FCB19612C81F9C = "درع "الثعلب""
	BCB5CE944FA8FF4F3B1137B4EB5AE5B3 = ""إذا انتظرت لبعض الوقت، سيبدأ الفطر بالنمو عليك.""
	B7A39F4C4AF8F976B6D38B95FE3C32E6 = ""سيبقيني الوهج في الظلام مستيقظاً طوال الليل.""
	AC0864534BD281945D8402BE82CF9745 = ""رائع! سنذهب اليوم إلى أرض الكريستالات عديمة القيمة.""
	2D32E1124D79B3E3DEC62BB9E756ED93 = ""العمل الشاق أمرٌ بالغ الأهمية لكل قزمٍ يتمتع بالرجولة. هل يمكنك تطوير نفسك أكثر أم صرت النسخة الأفضل من نفسك؟""
