10718 entries
35 namespaces
8867 values

Namespace Global (9940 keys)
	A2B0C5B2490433FB57B3008A2A36ECB9 = "        nollaa        "
	C96469B045023AF918296D97182165AB = "        nollaa        "
	248F3D37491744967A44008576B16FA9 = " (Väinö)"
	CC8D6F3348E59DB853C7258BD4E3FF05 = " Musta laatikko käynnistyy. Menetämme yhteyden, jos ette pysy sen lähellä, joten älkää poistuko mittausalueelta!"
	21E775294A9F00BC12A202B5100B6791 = " Rahtilaatikko täällä!"
	2559D78C40005E5221F26093CB976283 = " Kerää {Title}"
	3E2E82954782E77A2F596AB7FEA09136 = " Putosin!"
	46DC5C9345AAA322FC0237A09ECEADA7 = " Ommoranin kuori"
	31D60A1449082F9AB6DC15844F3810F6 = " VAADITTU"
	75AD2FE3498BE6FDEBB6FEBE4B313DD6 = " Äänisuunnittelija / Musiikin tuottaja"
	CC99101A43D27CD0B6D56484C12AC71D = " Vartiotykki pystyy ampumaan enemmän laukauksia ennen latausta."
	E0E180134C7EAF4A647A3A98FEC339AC = "!! JUMISSA !!"
	9DE3AE324DB844BD8E835CB092A16D99 = "!Toimeksiannon edellytys ei täyty!"
	B804AFD2431E4660DCEA52A4A05F81DA = "" 'Kääpiötä ei jätetä' on saanut huhujen mukaan alkunsa tällä alueella. Pitkäaikaisen suoloille altistumisen vaikutuksen nähneet ymmärtävät miksi.""
	2660CB0147BB176C7BED4CA8F8D87563 = ""Kääpiö näkee kauemmas seistessään jättiläisten harteilla!""
	7A08710B44444ECFC61B76B9C1569163 = ""Kääpiö näkee kauemmas, kun seisoo jättiläisten harteilla!""
	83952EF040308BB9B237FDA3FA104D7D = ""Kääpiö näkee kauemmas, kun seisoo jättiläisten harteilla!""
	F4DC306C4D7F88FE61461FBA54E280E9 = ""Kääpiö näkee kauemmas seistessään jättiläisten harteilla!""
	F46EBF4248905C5C258AC5A84443527B = ""Köyhän kääpiön rantaloma.""
	4F6A260D44BFC3B210BB2B8CEA3B3B19 = ""Äh, menkää keittämään päänne, te molemmat.""
	CFBD5A9446C706086671638BB02F2B9F = ""Tee aina oletettua enemmän!""
	D6F2783E4EF9B33A3CEED6BD49DE379B = ""Tee aina oletettua enemmän!""
	6AEFCD0941308D95C5CA318E0EC0E0C2 = ""Ja minä kuulin ikäänkuin äänen niiden neljän olennon keskeltä. Ja minä näin, ja katso: hallava hevonen; ja sen selässä istuvan nimi oli Kuolema, ja Tuonela seurasi hänen mukanaan.""
